user_id;course_id;course_role
101;9001;STUDENT
102;9001;STUDENT
103;9001;STUDENT
104;9001;STUDENT
106;9001;TEACHING_ASSISTANT
116;9001;INSTRUCTOR
101;9002;STUDENT
102;9002;STUDENT
103;9002;STUDENT
104;9002;STUDENT
106;9002;TEACHING_ASSISTANT
116;9002;INSTRUCTOR
101;9003;STUDENT
102;9003;STUDENT
103;9003;STUDENT
104;9003;STUDENT
106;9003;TEACHING_ASSISTANT
116;9003;INSTRUCTOR
101;9004;STUDENT
102;9004;STUDENT
103;9004;STUDENT
104;9004;STUDENT
106;9004;TEACHING_ASSISTANT
116;9004;INSTRUCTOR
101;9005;STUDENT
102;9005;STUDENT
103;9005;STUDENT
104;9005;STUDENT
106;9005;TEACHING_ASSISTANT
116;9005;INSTRUCTOR
101;9006;STUDENT
102;9006;STUDENT
103;9006;STUDENT
104;9006;STUDENT
106;9006;TEACHING_ASSISTANT
116;9006;INSTRUCTOR
101;9007;STUDENT
102;9007;STUDENT
103;9007;STUDENT
104;9007;STUDENT
106;9007;TEACHING_ASSISTANT
116;9007;INSTRUCTOR
101;9008;STUDENT
102;9008;STUDENT
103;9008;STUDENT
104;9008;STUDENT
106;9008;TEACHING_ASSISTANT
116;9008;INSTRUCTOR
101;9009;STUDENT
102;9009;STUDENT
103;9009;STUDENT
104;9009;STUDENT
106;9009;TEACHING_ASSISTANT
116;9009;INSTRUCTOR
101;9010;STUDENT
102;9010;STUDENT
103;9010;STUDENT
104;9010;STUDENT
106;9010;TEACHING_ASSISTANT
116;9010;INSTRUCTOR
101;9011;STUDENT
102;9011;STUDENT
103;9011;STUDENT
104;9011;STUDENT
106;9011;TEACHING_ASSISTANT
116;9011;INSTRUCTOR
101;9012;STUDENT
102;9012;STUDENT
103;9012;STUDENT
104;9012;STUDENT
106;9012;TEACHING_ASSISTANT
116;9012;INSTRUCTOR
101;9013;STUDENT
102;9013;STUDENT
103;9013;STUDENT
104;9013;STUDENT
106;9013;TEACHING_ASSISTANT
116;9013;INSTRUCTOR
101;9014;STUDENT
102;9014;STUDENT
103;9014;STUDENT
104;9014;STUDENT
106;9014;TEACHING_ASSISTANT
116;9014;INSTRUCTOR
101;9015;STUDENT
102;9015;STUDENT
103;9015;STUDENT
104;9015;STUDENT
106;9015;TEACHING_ASSISTANT
116;9015;INSTRUCTOR
101;9016;STUDENT
102;9016;STUDENT
103;9016;STUDENT
104;9016;STUDENT
106;9016;TEACHING_ASSISTANT
116;9016;INSTRUCTOR
101;9018;STUDENT
102;9018;STUDENT
103;9018;STUDENT
104;9018;STUDENT
106;9018;TEACHING_ASSISTANT
116;9018;INSTRUCTOR
101;9019;STUDENT
102;9019;STUDENT
103;9019;STUDENT
104;9019;STUDENT
106;9019;TEACHING_ASSISTANT
116;9019;INSTRUCTOR
101;9020;STUDENT
102;9020;STUDENT
103;9020;STUDENT
104;9020;STUDENT
106;9020;TEACHING_ASSISTANT
116;9020;INSTRUCTOR
101;9021;STUDENT
102;9021;STUDENT
103;9021;STUDENT
104;9021;STUDENT
106;9021;TEACHING_ASSISTANT
116;9021;INSTRUCTOR
101;9022;STUDENT
102;9022;STUDENT
103;9022;STUDENT
104;9022;STUDENT
106;9022;TEACHING_ASSISTANT
116;9022;INSTRUCTOR
101;9023;STUDENT
102;9023;STUDENT
103;9023;STUDENT
104;9023;STUDENT
106;9023;TEACHING_ASSISTANT
116;9023;INSTRUCTOR
101;9024;STUDENT
102;9024;STUDENT
103;9024;STUDENT
104;9024;STUDENT
106;9024;TEACHING_ASSISTANT
116;9024;INSTRUCTOR
101;9025;STUDENT
102;9025;STUDENT
103;9025;STUDENT
104;9025;STUDENT
106;9025;TEACHING_ASSISTANT
116;9025;INSTRUCTOR
